,code,product_name,product_type,brands,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score
10166,3615370003253,,beauty,Laboratoire marque verte,"[""fr:Antiseptiques""]","[""en:france""]",7,1.0,6,0.4625,1.0,1.0,openfoodfacts-contributors,0.8571428571428571,0.75,1,1,0.8571428571428571,0.1428571428571429,1,1,0,0,0,"[""en""]","[""fr""]",0,0,1,0.6666666666666667,0.5392857142857144
10167,3245678599723,Eau micellaire fraîcheur,beauty,"Auchan, Cosmia","[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",11.0,2.0,9.0,0.575,1.0,1.0,openfoodfacts-contributors,1.0,1.0,1,1,0.8181818181818182,0.18181818181818177,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7136363636363636
10168,3245678599839,Crème mains anti-âge,beauty,"Auchan, Cosmia","[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:united-states"", ""en:world""]",49,14.0,41,0.5625,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.8367346938775511,0.16326530612244894,3,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7071428571428572
10169,3596710517633,Shampoing sec,beauty,Cosmia,[],"[""en:france"", ""en:world""]",8.0,2.0,6.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.75,0.25,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7375
10170,3245678704448,Talc en poudre,beauty,Cosmia Baby,[],"[""en:france"", ""en:world""]",2,2.0,1,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,0,0.5,0.5,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.8250000000000001
10171,3245678141281,Anti-transpirant,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",14.0,4.0,10.0,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.7142857142857143,0.2857142857142857,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.75
10172,3245677724959,Crème anti-âge nuit bio à l'huile d'argan et acide hyaluronique,beauty,Cosmia Bio,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",48.0,6.0,42.0,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.875,0.125,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.69375
10173,3245678091586,Soin des lèvres,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",35.0,5.0,30.0,0.6625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.8571428571428571,0.1428571428571429,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7000000000000001
10174,3245678104002,"efficacité 24h, anti-traces, fabriqué en France, *parfum de synthèse",beauty,Cosmia,[],"[""en:france"", ""en:world""]",10.0,4.0,6.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.6,0.4,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.79
10175,3245678599778,Lingettes démaquillantes sensitive,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",20.0,5.0,15.0,0.5625,2.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.75,0.25,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7375
