,code,product_name,product_type,brands,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score
10237,3700343046242,spray solaire visage et corps 50 SFP,beauty,acorelle,"[""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Solaire""]","[""en:france""]",27,8.0,23,0.875,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.8518518518518519,0.14814814814814814,1,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.6768518518518518
10238,3222475630064,Crème de soin nourrissante,beauty,Casino,"[""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Soin sans rin\u00e7age""]","[""en:france""]",20,3.0,17,0.8,11.0,1.0,nanis12,1.0,1.0,0,1,0.85,0.15000000000000002,1,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.6775
10240,77987983,Rexona odorono,beauty,"Unilever, Rexona","[""es:Antitranspirante""]",[],22,2.0,20,0.775,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.9090909090909091,0.09090909090909094,0,1,1,0,0,[],"[""es""]",0,0,0,1.0,0.6818181818181819
10244,3245678667132,Disques à démaquiller duo,beauty,Auchan,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",2,1.0,1,0.6625,1.0,1.0,ju44,1.0,1.0,0,1,0.5,0.5,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.8250000000000001
10257,6192001382316,Soins Eclat,beauty,Soins Eclat,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:tunisia""]",26,7.0,20,0.5875,2.0,1.0,smoothie-app,1.0,1.0,0,0,0.7692307692307693,0.23076923076923073,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7307692307692307
10260,3596710528189,Dentifrice expert blancheur lot x2,beauty,Auchan,[],"[""en:france""]",20.0,5.0,15.0,0.4625,1.0,1.0,org-auchan-apaw,0.8571428571428571,0.75,0,1,0.75,0.25,1,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.6017857142857144
10272,0302994113002,Cetaphil Oil-Free Facial Moisturizer with Sunscreen SPF 35,beauty,Cetaphil,"[""en:Face lotions""]","[""en:united-states""]",48,16.0,29,0.875,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.6041666666666666,0.39583333333333337,1,1,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7885416666666667
10274,8414807548610,Desodorante antitranspirante,beauty,KYREY,[],[],12,2.0,10,0.675,4.0,1.0,openfoodfacts-contributors,0.8571428571428571,0.75,0,1,0.8333333333333334,0.16666666666666663,0,0,1,1,1,[],[],0,0,0,1.0,0.5726190476190476
10299,6111255616190,Fan,beauty,fan,"[""fr:Eau de Cologne""]",[],19,3.0,9,0.875,3.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.47368421052631576,0.5263157894736843,0,1,1,0,0,[],"[""fr""]",0,0,0,1.0,0.8342105263157895
10302,4305615843070,Matte-Paste,beauty,Alterra Naturkosmetik,"[""de:Haarstyling""]",[],36,10.0,26,0.775,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.7222222222222222,0.2777777777777778,0,1,1,0,0,[],"[""de""]",0,0,0,1.0,0.7472222222222222
